site_location	stars	conrtibutor_name	how_long_ago	review_title	review	can_be_recommended	value_for_money	product_quality	appearance	ease_of_assembly-installation	works_as_expected	helpful_yes	helpful_no
us	4	ZiggysMama	a year ago	Great for more than just books	Bought this (along with the glass doors) to use as a mini concession stand for my home theater room and it exceeded my expectations.	Yes	4	5	5	5	5	0	0
us	5	Proud Dad	a year ago	Easy assembly.......great price!	Purchased this for my daughter's home office. Matches existing pieces, smooth, clean lines.Very sturdy.	Yes	5	5	5	5	5	0	0
us	5	Billy1111	a year ago	Billy book case	Perfect for putting my electronics. I own many machines that needed a spot	Yes	5	4	4	5	5	0	0
us	4	Roberta1968	a year ago	Billy Bookcase	I bought this for my son's college dorm. It was easy to put together and looks great in his room!	Yes	4	4	4	4	4	0	0
us	5	Graciela	a year ago	Love it	Love it helped organize my room. I used out for clothes.	Yes	5	5	5	5	5	0	0
us	5	MandyfromKY	a year ago	Great bookcase for the price!	I bought 3 of them and put them side by side under my tv that is mounted on the wall in my living room. I use it for books, dvds and picture frames. Our PS4 and cable box and sound bar sit on top of it. Makes for a perfect media center and also great place for pictures and home decor items. Easy to put together!	Yes	5	4	5	5	5	1	0
us	5	XeNell	a year ago	Great Size	Needed something with limited depth to put in a small guest room. Wanted enough width to support a television but with room available below for guests to place items. This product works beautifully. Took a bit to put it together properly but is perfect for the need. Bought the black/brown color.	Yes	5	5	5	4	5	0	0
us	5	Warren17	a year ago	As usual it is GREAT	We have two other Billy bookcases and love them. We were disappointed to see very little birch in the store. We hope you will continue to carry it.	Yes	5	5	5	5	5	0	0
us	5	Iamkristinc	a year ago	None	We bought this a month ago and it perfectly fits my partners guitar equipment, including his large amp!	Yes	5	5	5	4	5	0	0
us	5	Maria Clau	a year ago	None	I bought my bookcase a month ago, I'm very happy with them. It was easy to assemble	Yes	5	5	5	5	5	0	0
us	5	Peaches1201	2 years ago	Billy Bookcase	We wanted a sturdy sleek looking book case. This one delivered!!. But we wish they had not put in the notch (in the back) for the baseboards. We have extra tall baseboards and the notch rubs right in the middle of our baseboards. it would be nice if they sold a drawer or extra shelf to put on the bottom (to raise the bookshelf).	Yes	5	5	5	5	5	3	0
us	5	Jraap27	2 years ago	Sturdy!	I now have three Billy's in my office. I just can't get over how much they hold and how nice they look. Plus they're so affordable and easy to put together! I love all the features you can add as well, such as doors to hide the clutter. Will definitely be back for more!	Yes	5	5	4	5	5	1	1
us	5	jennyb1102	2 years ago	Love how you updated a classic.	new shelf tabs, better safety bracket positioning. We have 6 old Billy models so it was interesting to see how it was redesigned. Still a classic staple. Will keep buying them as needed.	Yes	5	5	5	4	5	45	7
us	5	Pantry	2 years ago	Billy Bookcase	Used in my new reorganized pantry. Wonderful, fits perfectly and so easy to put together. Quick and easy reorg.	Yes	5	5	5	5	5	4	0
us	3	osvaldoo	2 years ago	Bookcase	It looks like advertising. The bookcase arrived wet and open by the rain. Despite the fault was the transportation, the customer support told me that I had to pay the delivery again. Fortunately there was a person that understood the issue and delivery the item without charge. But it took me a couple of hour at the phone. Recommend more training to the customer services	Yes	3	3	4	3	4	31	31
